OrderID,Department,TaskName,StartDate,EndDate,Duration,Cost,Status,Employee,Priority
OPS0001,Quality,Order Fulfillment,2023-01-01,2023-01-17,16,133.39,Completed,EMP034,High
OPS0002,Customer Service,Report Generation,2023-01-01,2023-01-10,9,2664.7,Completed,EMP034,Medium
OPS0003,Customer Service,Customer Follow-up,2023-01-02,2023-01-30,28,4615.42,Completed,EMP035,High
OPS0004,Production,Customer Follow-up,2023-01-03,2023-01-17,14,4079.18,In Progress,EMP038,Medium
OPS0005,Customer Service,Equipment Maintenance,2023-01-04,2023-01-17,13,4143.54,Completed,EMP003,Medium
OPS0006,Quality,Report Generation,2023-01-05,2023-01-26,21,3995.78,Delayed,EMP042,Medium
OPS0007,Customer Service,Order Fulfillment,2023-01-06,2023-01-31,25,1686.28,In Progress,EMP006,Medium
OPS0008,Quality,Order Fulfillment,2023-01-06,2023-01-13,7,3849.45,Completed,EMP048,High
OPS0009,Customer Service,Equipment Maintenance,2023-01-07,2023-01-22,15,801.49,Completed,EMP049,Medium
OPS0010,Quality,Equipment Maintenance,2023-01-08,2023-01-15,7,3322.81,Completed,EMP019,High
OPS0011,Customer Service,Inventory Check,2023-01-09,2023-01-15,6,3243.69,In Progress,EMP003,Low
OPS0012,Customer Service,Order Fulfillment,2023-01-10,2023-01-12,2,225.29,Completed,EMP018,High
OPS0013,Logistics,Staff Training,2023-01-11,2023-01-20,9,3961.05,In Progress,EMP039,Low
OPS0014,Quality,Customer Follow-up,2023-01-11,2023-02-02,22,4525.92,Completed,EMP009,Medium
OPS0015,Quality,Staff Training,2023-01-12,2023-02-05,24,1410.33,In Progress,EMP012,Medium
OPS0016,Quality,Shipment Processing,2023-01-13,2023-01-30,17,4080.71,Completed,EMP005,Medium
OPS0017,Warehouse,Report Generation,2023-01-14,2023-01-19,5,503.79,Delayed,EMP003,Medium
OPS0018,Customer Service,Equipment Maintenance,2023-01-15,2023-01-27,12,3039.84,Completed,EMP011,Medium
OPS0019,Quality,Inventory Check,2023-01-16,2023-01-17,1,2479.67,Completed,EMP030,High
OPS0020,Warehouse,Staff Training,2023-01-16,2023-01-26,10,2775.03,Completed,EMP004,Medium
OPS0021,Logistics,Quality Audit,2023-01-17,2023-01-28,11,4638.41,Completed,EMP005,High
OPS0022,Quality,Customer Follow-up,2023-01-18,2023-02-03,16,4369.44,Delayed,EMP001,High
OPS0023,Quality,Inventory Check,2023-01-19,2023-02-02,14,3946.91,Completed,EMP027,Medium
OPS0024,Warehouse,Inventory Check,2023-01-20,2023-01-28,8,1441.12,Completed,EMP028,High
OPS0025,Customer Service,Staff Training,2023-01-21,2023-02-14,24,4567.91,Completed,EMP029,High
OPS0026,Logistics,Quality Audit,2023-01-21,2023-02-07,17,577.79,Completed,EMP018,High
OPS0027,Quality,Shipment Processing,2023-01-22,2023-02-16,25,4281.31,Completed,EMP012,High
OPS0028,Customer Service,Staff Training,2023-01-23,2023-02-10,18,1707.98,In Progress,EMP013,High
OPS0029,Logistics,Quality Audit,2023-01-24,2023-02-05,12,363.48,Completed,EMP041,Low
OPS0030,Production,Inventory Check,2023-01-25,2023-02-19,25,3379.85,Delayed,EMP002,High
OPS0031,Production,Customer Follow-up,2023-01-26,2023-02-12,17,1233.27,Completed,EMP037,Medium
OPS0032,Logistics,Quality Audit,2023-01-26,2023-02-23,28,1293.5,Completed,EMP045,High
OPS0033,Warehouse,Inventory Check,2023-01-27,2023-02-22,26,1599.63,In Progress,EMP016,Low
OPS0034,Logistics,Report Generation,2023-01-28,2023-02-11,14,412.06,In Progress,EMP048,High
OPS0035,Logistics,Staff Training,2023-01-29,2023-02-14,16,967.92,Completed,EMP024,Low
OPS0036,Warehouse,Equipment Maintenance,2023-01-30,2023-02-13,14,125.18,In Progress,EMP035,Medium
OPS0037,Warehouse,Staff Training,2023-01-31,2023-02-09,9,2282.51,Completed,EMP022,High
OPS0038,Customer Service,Report Generation,2023-01-31,2023-02-04,4,512.85,Completed,EMP036,Low
OPS0039,Customer Service,Order Fulfillment,2023-02-01,2023-02-26,25,3445.0,Delayed,EMP011,Medium
OPS0040,Warehouse,Order Fulfillment,2023-02-02,2023-02-25,23,1254.55,Completed,EMP046,High
OPS0041,Production,Order Fulfillment,2023-02-03,2023-02-14,11,4723.51,Completed,EMP029,Low
OPS0042,Production,Staff Training,2023-02-04,2023-02-10,6,4369.13,In Progress,EMP035,Low
OPS0043,Logistics,Shipment Processing,2023-02-05,2023-02-20,15,1518.26,Delayed,EMP048,Medium
OPS0044,Quality,Staff Training,2023-02-05,2023-02-10,5,3937.76,Completed,EMP015,Medium
OPS0045,Logistics,Customer Follow-up,2023-02-06,2023-02-17,11,4035.9,Completed,EMP031,Low
OPS0046,Logistics,Report Generation,2023-02-07,2023-03-04,25,4934.16,Completed,EMP042,Medium
